Name,Longitude,Latitude,Ellipsoidal height
442,-78.67262903,35.77419650,92.502
452,-78.67261698,35.77418904,92.480
424,-78.67260404,35.77418278,92.452
488,-78.67259151,35.77417572,92.431
409,-78.67257574,35.77416834,92.399
467,-78.67256749,35.77417283,92.677
436,-78.67257860,35.77417976,92.679
454,-78.67259354,35.77418730,92.731
413,-78.67260704,35.77419417,92.747
498,-78.67261782,35.77420069,92.762
429,-78.67261724,35.77421050,92.755
469,-78.67260550,35.77420491,92.754
427,-78.67259259,35.77419710,92.748
418,-78.67257904,35.77418980,92.709
414,-78.67256630,35.77418323,92.696
138,-78.67255178,35.77418847,92.670
446,-78.67256826,35.77419670,92.725
494,-78.67258735,35.77420759,92.753
483,-78.67261109,35.77422107,92.780
131,-78.67260442,35.77422545,92.567
122,-78.67259339,35.77421880,92.568
108,-78.67258008,35.77421200,92.525
121,-78.67256602,35.77420572,92.544
93,-78.67255219,35.77419815,92.503
136,-78.67254089,35.77420378,92.786
77,-78.67255481,35.77421100,92.761
135,-78.67256776,35.77421772,92.789
76,-78.67258171,35.77422534,92.852
92,-78.67259375,35.77423272,92.849
106,-78.67259165,35.77424172,92.875
125,-78.67257957,35.77423422,92.876
105,-78.67256675,35.77422784,92.837
90,-78.67255285,35.77421993,92.817
97,-78.67254041,35.77421487,92.817
89,-78.67251527,35.77423933,92.812
133,-78.67252661,35.77424581,92.813
104,-78.67254146,35.77425308,92.863
440,-78.67255425,35.77425887,92.863
101,-78.67256562,35.77426537,92.877
113,-78.67256472,35.77427493,92.895
103,-78.67255236,35.77426839,92.923
117,-78.67254020,35.77426115,92.875
86,-78.67252708,35.77425451,92.852
112,-78.67251465,35.77424762,92.804
412,-78.67250281,35.77425233,92.538
116,-78.67251750,35.77425936,92.632
115,-78.67252902,35.77426687,92.629
94,-78.67254012,35.77427303,92.655
88,-78.67255385,35.77428115,92.677
422,-78.67255362,35.77429316,92.926
404,-78.67253107,35.77428099,92.900
497,-78.67251324,35.77427219,92.847
471,-78.67249293,35.77426131,92.790
444,-78.67249420,35.77427130,92.577
430,-78.67250773,35.77427702,92.611
492,-78.67252169,35.77428412,92.659
460,-78.67253422,35.77429119,92.652
416,-78.67254542,35.77429719,92.688
489,-78.67253670,35.77430342,92.898
434,-78.67252364,35.77429720,92.896
450,-78.67250978,35.77428995,92.875
421,-78.67249732,35.77428321,92.853
420,-78.67248545,35.77427635,92.828
480,-78.67248275,35.77428563,92.858
441,-78.67249504,35.77429204,92.908
405,-78.67250946,35.77429845,92.885
466,-78.67252248,35.77430537,92.890
487,-78.67253401,35.77431078,92.917
463,-78.67252499,35.77431803,92.657
476,-78.67251283,35.77431112,92.646
465,-78.67250024,35.77430396,92.650
447,-78.67248513,35.77429594,92.590
438,-78.67247244,35.77429099,92.547
134,-78.67252963,35.77421981,92.531
110,-78.67254350,35.77422580,92.561
91,-78.67255644,35.77423295,92.612
78,-78.67256991,35.77423921,92.617
107,-78.67258212,35.77424671,92.638
481,-78.67258112,35.77425662,92.918
459,-78.67256187,35.77424516,92.877
406,-78.67254458,35.77423638,92.865
137,-78.67252328,35.77422589,92.783
124,-78.67252340,35.77423320,92.541
129,-78.67253860,35.77423987,92.593
96,-78.67255206,35.77424656,92.640
109,-78.67256487,35.77425282,92.654
79,-78.67257874,35.77425991,92.688
